# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
1	0	20155
2	0	21576
3	0	23182
4	0	24868
5	0	26638
6	0	28530
7	0	30569
8	0	32528
9	0	34747
10	0	36895
11	0	39121
12	0	41330
13	0	43659
14	0	46065
15	0	48465
16	0	50849
17	0	53253
18	0	55667
19	0	58009
20	0	60349
21	0	62526
22	0	64560
23	0	66429
24	0	68075
25	0	69517
26	0	70826
27	0	71697
28	0	72353
29	0	72736
30	0	72917
31	0	72909
32	0	72790
33	0	72453
34	0	72081
35	0	71514
36	0	71048
37	0	70513
38	0	69948
39	0	69407
40	0	69009
41	0	68541
42	0	68137
43	0	67620
44	0	67159
45	0	66821
46	0	66450
47	0	66132
48	0	65817
49	0	65561
50	0	65301
51	0	65097
52	0	64918
53	0	64776
54	0	64627
55	0	64591
56	0	64572
57	0	64502
58	0	64445
59	0	64477
60	0	64599
61	0	64716
62	0	64887
63	0	64960
64	0	65202
65	0	65442
66	0	65611
67	0	65852
68	0	65988
69	0	66051
70	0	66221
71	0	66370
72	17	66495
73	25	66554
74	31	66717
75	46	66881
76	51	66922
77	67	66951
78	95	66986
79	123	67070
80	158	67099
81	212	67095
82	258	67053
83	335	66976
84	441	67013
85	565	67072
86	708	67084
87	916	67097
88	1140	67160
89	1349	67077
90	1659	67130
91	1931	67048
92	2294	66989
93	2659	66922
94	3029	66842
95	3465	66745
96	3886	66643
97	4290	66544
98	4726	66407
99	5116	66405
100	5532	66416
101	6000	66257
102	6430	66315
103	6615	66216
104	6946	66276
105	7225	66243
106	7439	66192
107	7730	66072
108	7875	66097
109	8039	66127
110	8287	66063
111	8479	66043
112	8663	66026
113	8759	65961
114	8828	65912
115	8761	65868
116	8758	65787
117	8699	65730
118	8562	65701
119	8336	65675
120	8111	65830
121	7774	65833
122	7474	65806
123	7251	65925
124	7001	65935
125	6774	65857
126	6492	65860
127	6251	65969
128	5898	66108
129	5608	66246
130	5280	66180
131	4917	66154
132	4587	66082
133	4239	66038
134	4010	65952
135	3707	65909
136	3369	65957
137	3099	65990
138	2875	66053
139	2671	66061
140	2466	66177
141	2274	66139
142	2138	66258
143	1973	66313
144	1775	66333
145	1628	66248
146	1415	66278
147	1234	66360
148	1082	66331
149	895	66426
150	741	66459
151	605	66447
152	500	66362
153	387	66321
154	315	66423
155	252	66436
156	195	66463
157	140	66427
158	113	66469
159	86	66505
160	71	66598
161	52	66642
162	42	66721
163	27	66615
164	19	66556
165	16	66557
166	9	66511
167	10	66549
168	8	66463
169	8	66471
170	5	66447
171	3	66393
172	2	66282
173	1	66216
174	1	66227
175	1	66304
176	0	66337
177	0	66363
178	0	66318
179	0	66331
180	0	66392
181	0	66324
182	0	66211
183	0	66248
184	0	66247
185	0	66122
186	0	66019
187	0	66083
188	0	66041
189	0	65988
190	0	65966
191	0	66075
192	0	66181
193	0	66194
194	0	66148
195	0	66285
196	0	66263
197	0	66154
198	0	66158
199	0	66262
200	0	66291
201	0	66244
202	0	66248
203	0	66298
204	0	66257
205	0	66345
206	0	66384
207	0	66306
208	0	66359
209	0	66456
210	0	66465
211	0	66407
212	0	66343
213	0	66276
214	0	66335
215	0	66376
216	0	66337
217	0	66213
218	0	66251
219	0	66302
220	0	66217
221	0	66206
222	0	66235
223	0	66253
224	0	66271
225	0	66296
226	0	66392
227	0	66411
228	0	66357
229	0	66362
230	0	66313
231	0	66367
232	0	66451
233	0	66435
234	0	66380
235	0	66264
236	0	66207
237	0	66310
238	0	66168
239	0	66132
240	0	66191
241	0	66211
242	0	66162
243	0	66235
244	0	66190
245	0	66296
246	0	66370
247	0	66433
248	0	66469
249	0	66413
250	0	66316
251	0	66207
252	0	66266
253	0	66239
254	0	66210
255	0	66285
256	0	66243
257	0	66225
258	0	66261
259	0	66283
260	0	66300
261	0	66360
262	0	66375
263	0	66370
264	0	66307
265	0	66271
266	0	66294
267	0	66349
268	0	66506
269	0	66503
270	0	66539
271	0	66622
272	0	66530
273	0	66464
274	0	66498
275	0	66496
276	0	66519
277	0	66622
278	0	66537
279	0	66529
280	0	66537
281	0	66574
282	0	66597
283	0	66632
284	0	66562
285	0	66547
286	0	66531
287	0	66577
288	0	66611
289	0	66523
290	0	66516
291	0	66538
292	0	66528
293	0	66626
294	0	66696
295	0	66618
296	0	66565
297	0	66536
298	0	66421
299	0	66441
300	0	66355
301	0	66343
302	0	66453
303	0	66457
304	0	66513
305	0	66452
306	0	66524
307	0	66503
308	0	66469
309	0	66490
310	0	66400
311	0	66448
312	0	66452
313	0	66482
314	0	66486
315	0	66551
316	0	66576
317	0	66567
318	0	66585
319	0	66567
320	0	66484
321	0	66493
